epoch,loss,accuracy
1,0.8939205035567284,0.792
2,0.4448877703398466,0.912
3,0.33281334675848484,0.93
4,0.28028849698603153,0.932
5,0.2654582690447569,0.936
6,0.24000125098973513,0.938
7,0.23450071713887155,0.928
8,0.22849374171346426,0.94
9,0.2367295369040221,0.91
10,0.22853494435548782,0.938
11,0.2099607007112354,0.934
12,0.1972999854478985,0.946
13,0.19901917246170342,0.94
14,0.20125669799745083,0.944
15,0.20288719679228961,0.948
16,0.2182788527570665,0.94
17,0.19414663640782237,0.94
18,0.17646102351136506,0.952
19,0.1869299898389727,0.952
20,0.17263193568214774,0.954
21,0.18506297376006842,0.96
22,0.16970431595109403,0.956
23,0.15741072944365442,0.96
24,0.1605314277112484,0.956
25,0.14690401358529925,0.956
26,0.17616038268897682,0.954
27,0.16063219506759197,0.96
28,0.15323489718139172,0.962
29,0.16167559032328427,0.964
30,0.1291449834825471,0.958
31,0.1487083255778998,0.956
32,0.15435357915703207,0.962
33,0.15030206623487175,0.966
34,0.12277201237156987,0.964
35,0.1361499393824488,0.966
36,0.16258459351956844,0.958
37,0.13196206430438906,0.968
38,0.1269025788642466,0.968
39,0.12393570400308818,0.968
40,0.12318949867039919,0.966
41,0.12576144968625158,0.966
42,0.11448062933050096,0.968
43,0.11612671636976302,0.964
44,0.11820357240503654,0.968
45,0.13442754768766463,0.962
46,0.13872633408755064,0.964
47,0.132541430182755,0.968
48,0.13748632743954659,0.966
49,0.13348928815685213,0.962
50,0.13722106430213898,0.964
51,0.1385674838675186,0.968
52,0.12905658117961138,0.966
53,0.12449362385086715,0.97
54,0.11293237970676273,0.97
55,0.11522625014185905,0.97
56,0.1046416882891208,0.97
57,0.10157903120853007,0.968
58,0.10707196604926139,0.972
59,0.10211639059707522,0.976
60,0.11526142898947,0.974
61,0.10132304264698178,0.976
62,0.09806548268534243,0.972
63,0.10929080098867416,0.974
64,0.09516291506588459,0.974
65,0.11150109744630754,0.976
66,0.08747559925541282,0.974
67,0.09268372977385297,0.976
68,0.09371338464552537,0.978
69,0.0824733212357387,0.98
70,0.07909085793653503,0.98
71,0.10126107739051804,0.982
72,0.09347009897464886,0.976
73,0.09081236075144261,0.976
74,0.08207581914030015,0.976
75,0.0843495432054624,0.98
76,0.08024882199242711,0.976
77,0.08163248095661402,0.982
78,0.0881532731000334,0.984
79,0.07836145762121305,0.982
80,0.07586452917894349,0.978
81,0.07772606797516346,0.98
82,0.07912654569372535,0.98
83,0.08141101722139865,0.978
84,0.08648753952002153,0.976
85,0.08182947395835072,0.978
86,0.07865952665451914,0.978
87,0.07585954264504835,0.984
88,0.07618036423809826,0.986
89,0.06949455663561821,0.978
90,0.08028396702138707,0.984
91,0.06932723463978618,0.978
92,0.08086452004499733,0.978
93,0.0875563882291317,0.982
94,0.07760265778051689,0.984
95,0.0642891792813316,0.982
96,0.08625634491909295,0.982
97,0.07261107594240457,0.98
98,0.07497830042848364,0.982
99,0.0711921202018857,0.984
100,0.06489488476654515,0.986
