epoch,loss,accuracy
1,0.7045242190361023,0.4782608695652174
2,0.6580055356025696,0.7391304347826086
3,0.6715884208679199,0.6956521739130435
4,0.6539317965507507,0.6956521739130435
5,0.6517264246940613,0.782608695652174
6,0.6387212872505188,0.782608695652174
7,0.6210939288139343,0.782608695652174
8,0.6057583093643188,0.782608695652174
9,0.6127408742904663,0.8260869565217391
10,0.5931604504585266,0.782608695652174
11,0.5956424474716187,0.782608695652174
12,0.5906713604927063,0.7391304347826086
13,0.58857262134552,0.6956521739130435
14,0.5681009888648987,0.6956521739130435
15,0.5558437705039978,0.6956521739130435
16,0.5350985527038574,0.6956521739130435
17,0.5159798264503479,0.6956521739130435
18,0.49755364656448364,0.7391304347826086
19,0.4919382929801941,0.6956521739130435
20,0.46039730310440063,0.6956521739130435
21,0.406071275472641,0.6956521739130435
22,0.45071154832839966,0.7391304347826086
23,0.4201510548591614,0.8695652173913043
24,0.4237849712371826,0.8695652173913043
25,0.37531939148902893,0.8695652173913043
26,0.4070565700531006,0.8695652173913043
27,0.4123201370239258,0.8695652173913043
28,0.39321455359458923,0.9130434782608695
29,0.29003721475601196,0.9130434782608695
30,0.3080134987831116,0.9130434782608695
31,0.29197368025779724,0.8260869565217391
32,0.24852444231510162,0.7391304347826086
33,0.18706274032592773,0.6521739130434783
34,0.20857594907283783,0.6956521739130435
35,0.22240261733531952,0.6956521739130435
36,0.2167346328496933,0.6956521739130435
37,0.19465360045433044,0.6956521739130435
38,0.15292325615882874,0.7391304347826086
39,0.12967899441719055,0.782608695652174
40,0.18255440890789032,0.8695652173913043
41,0.13584932684898376,0.9130434782608695
42,0.11160802841186523,0.9130434782608695
43,0.09230523556470871,0.9130434782608695
44,0.09426163882017136,0.9130434782608695
45,0.07119595259428024,0.9130434782608695
46,0.08863652497529984,0.9130434782608695
47,0.06264328211545944,0.9130434782608695
48,0.054018620401620865,0.9130434782608695
49,0.05292540416121483,0.9130434782608695
50,0.05396009981632233,0.9130434782608695
51,0.06291019171476364,0.9130434782608695
52,0.06899721920490265,0.9130434782608695
53,0.0373641699552536,0.9130434782608695
54,0.046673260629177094,0.9130434782608695
55,0.04334462434053421,0.9130434782608695
56,0.056202374398708344,0.9565217391304348
57,0.03318040817975998,1.0
58,0.03740471974015236,1.0
59,0.030881285667419434,1.0
60,0.030252913013100624,1.0
61,0.03379073739051819,1.0
62,0.04151773080229759,1.0
63,0.024482229724526405,1.0
64,0.03714805468916893,1.0
65,0.012073668651282787,1.0
66,0.031604740768671036,1.0
67,0.03131204470992088,1.0
68,0.016207803040742874,1.0
69,0.03659966588020325,1.0
70,0.02153755910694599,1.0
71,0.04376811906695366,1.0
72,0.02196354977786541,1.0
73,0.009991086088120937,1.0
74,0.015787815675139427,1.0
75,0.017237070947885513,1.0
76,0.019141530618071556,1.0
77,0.012604793533682823,1.0
78,0.032332245260477066,1.0
79,0.01297246478497982,1.0
80,0.012600109912455082,1.0
81,0.011900660581886768,1.0
82,0.017629573121666908,1.0
83,0.02365974523127079,1.0
84,0.030999569222331047,1.0
85,0.010240251198410988,1.0
86,0.022103000432252884,1.0
87,0.014480647630989552,1.0
88,0.00736028840765357,1.0
89,0.007201582659035921,1.0
90,0.006643219385296106,1.0
91,0.009598921053111553,1.0
92,0.015830697491765022,1.0
93,0.012410550378262997,1.0
94,0.01146688498556614,1.0
95,0.007402370218187571,1.0
96,0.0105986213311553,1.0
97,0.022392449900507927,1.0
98,0.0069089666940271854,1.0
99,0.0063768429681658745,1.0
100,0.010379326529800892,1.0
