Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
COMTE,LSTMFCN,1110,1,0,97.4893,0.0,0.0,1.3966,16.9953,2.2247,0.9999,1.0,0.9964,1.0,1.0,1.0,0.9999,0.0,0.0,1.0,0.969,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.253,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.064,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0003,1.0,0.9998,1.0,1.0,0.0,0.0001,0.0,0.0008,1.0,0.9979,1.0,1.0,0.0,0.0005,0.0,0.0,1.0,0.9452,1.0,1.0,0.0,0.0033,0.0,0.0001,0.0,0.4546,1.0,1.0,0.0,0.019,0.0,0.0,0.0,0.0961,1.0,1.0,0.0,0.0717,0.0,0.0001,0.0,0.0234,1.0,0.9969,0.0,0.2186,0.0,0.0051,0.0,0.0073,1.0,0.9999,1.0,0.5533
COMTE,LSTMFCN,342,1,0,98.4665,0.0122,0.0,2.0546,26.131,3.1818,0.9972,1.0,0.9999,1.0,1.0,1.0,0.9972,0.0,0.0001,1.0,0.9997,1.0,0.9984,1.0,0.998,0.0,0.0,1.0,0.9089,1.0,0.9593,1.0,0.9998,0.0,0.0,1.0,0.6758,1.0,0.6284,1.0,0.9998,0.0,0.0,0.0,0.0876,0.0,0.1705,1.0,0.9999,0.0,0.0,0.0,0.0081,0.0,0.0372,1.0,1.0,0.0,0.0001,0.0,0.0459,0.0,0.0106,1.0,1.0,0.0,0.0004,0.0,0.0123,0.0,0.0033,1.0,1.0,0.0,0.0031,0.0,0.0072,0.0,0.0013,1.0,0.9999,0.0,0.026,0.0,0.0009,0.0,0.0007,1.0,0.9999,0.0,0.1594,0.0,0.0007,0.0,0.0005,1.0,0.9998,0.0,0.4543
COMTE,LSTMFCN,524,0,1,98.8595,0.0,0.0,2.9981,34.1681,4.1971,0.9997,1.0,0.9969,0.0,0.0,1.0,0.9997,1.0,1.0,1.0,0.9988,0.0,0.0,1.0,0.9992,1.0,0.9999,1.0,1.0,0.0,0.0,1.0,0.8524,1.0,0.9979,1.0,0.9996,0.0,0.0,0.0,0.0569,1.0,0.978,1.0,1.0,0.0,0.0,0.0,0.0414,1.0,0.8319,1.0,1.0,0.0,0.0,0.0,0.0082,0.0,0.3972,1.0,1.0,0.0,0.0,0.0,0.0003,0.0,0.1032,1.0,1.0,0.0,0.0,0.0,0.0066,0.0,0.0279,1.0,1.0,0.0,0.0001,0.0,0.0214,0.0,0.0096,1.0,0.9999,0.0,0.0013,0.0,0.0031,0.0,0.0041,1.0,0.9954,0.0,0.0153,0.0,0.0052,0.0,0.0023
COMTE,LSTMFCN,1068,0,1,94.9688,0.0,0.0,1.1011,17.6217,2.8193,0.9997,1.0,0.9951,0.0,0.0003,1.0,0.9997,1.0,1.0,1.0,0.9967,0.0,0.0,1.0,0.9984,1.0,0.9999,1.0,0.9995,0.0,0.0,1.0,0.9005,1.0,0.9979,1.0,0.9992,0.0,0.0,1.0,0.5366,1.0,0.978,1.0,1.0,0.0,0.0001,0.0,0.0029,1.0,0.8319,1.0,0.9999,0.0,0.0009,0.0,0.0266,0.0,0.3972,1.0,1.0,0.0,0.0048,0.0,0.0012,0.0,0.1032,1.0,0.9984,0.0,0.0247,0.0,0.0052,0.0,0.0279,1.0,0.9999,0.0,0.0953,0.0,0.0024,0.0,0.0096,1.0,1.0,0.0,0.2383,0.0,0.0004,0.0,0.0041,1.0,0.9924,0.0,0.4044,0.0,0.0038,0.0,0.0023
COMTE,LSTMFCN,123,0,1,94.774,0.0244,0.0,1.0193,14.6167,2.4704,0.9997,1.0,0.9806,0.0,0.0,1.0,0.9997,1.0,1.0,1.0,0.993,0.0,0.0,1.0,0.9994,1.0,0.9999,1.0,0.9999,0.0,0.0,1.0,0.7374,1.0,0.9979,1.0,0.9999,0.0,0.0,0.0,0.0379,1.0,0.978,1.0,1.0,0.0,0.0003,0.0,0.0331,1.0,0.8319,1.0,0.9999,0.0,0.0025,0.0,0.0005,0.0,0.3972,1.0,1.0,0.0,0.0108,0.0,0.0005,0.0,0.1032,1.0,1.0,0.0,0.0383,0.0,0.0014,0.0,0.0279,1.0,0.9999,0.0,0.0976,0.0,0.0015,0.0,0.0096,1.0,0.9971,0.0,0.1731,0.0,0.0001,0.0,0.0041,1.0,1.0,0.0,0.2712,0.0,0.0018,0.0,0.0023
COMTE,LSTMFCN,372,1,0,95.1748,0.0366,0.0,1.4831,15.7317,2.2437,0.9972,1.0,0.9999,1.0,1.0,1.0,0.9972,0.0,0.0001,1.0,0.9934,1.0,1.0,1.0,0.9984,0.0,0.0,1.0,0.8044,1.0,1.0,1.0,0.9997,0.0,0.0,0.0,0.1262,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.0099,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.0102,1.0,0.9996,1.0,1.0,0.0,0.0001,0.0,0.0001,1.0,0.9947,1.0,0.9999,0.0,0.0004,0.0,0.0002,1.0,0.9003,1.0,0.9999,0.0,0.0031,0.0,0.0005,0.0,0.3798,1.0,0.9995,0.0,0.026,0.0,0.002,0.0,0.0853,1.0,0.9999,0.0,0.1594,0.0,0.0039,0.0,0.0256,1.0,0.9999,0.0,0.4543
COMTE,LSTMFCN,450,0,1,96.9392,0.0,0.0,1.6129,18.0409,2.3567,0.9997,1.0,0.9763,0.0,0.0004,1.0,0.9997,1.0,1.0,1.0,0.9604,0.0,0.0001,1.0,0.9855,1.0,0.992,1.0,0.9955,0.0,0.0001,1.0,0.6799,0.0,0.3858,1.0,0.9989,0.0,0.0002,0.0,0.0173,0.0,0.036,1.0,1.0,0.0,0.0009,0.0,0.0031,0.0,0.007,1.0,0.9991,0.0,0.0047,0.0,0.0005,0.0,0.0023,1.0,1.0,0.0,0.0213,0.0,0.0008,0.0,0.0011,1.0,0.9999,0.0,0.0859,0.0,0.0013,0.0,0.0008,1.0,0.9997,0.0,0.1943,0.0,0.007,0.0,0.0006,1.0,1.0,0.0,0.3336,0.0,0.0013,0.0,0.0005,1.0,0.9994,0.0,0.4788,0.0,0.0017,0.0,0.0005
COMTE,LSTMFCN,536,1,0,97.312,0.0,0.0,1.9836,26.1727,3.2348,0.9985,1.0,0.9997,1.0,1.0,1.0,0.9985,0.0,0.0001,1.0,0.9984,1.0,0.9987,1.0,0.9991,0.0,0.0,1.0,0.616,1.0,0.8762,1.0,0.9996,0.0,0.0,0.0,0.0401,0.0,0.2454,1.0,1.0,0.0,0.0,0.0,0.0032,0.0,0.0536,1.0,1.0,0.0,0.0004,0.0,0.0007,0.0,0.0173,1.0,1.0,0.0,0.0027,0.0,0.0,0.0,0.0075,1.0,0.9999,0.0,0.0157,0.0,0.0031,0.0,0.0038,1.0,1.0,0.0,0.0814,0.0,0.0025,0.0,0.0024,1.0,1.0,0.0,0.2754,0.0,0.0,0.0,0.0018,1.0,1.0,1.0,0.5345,0.0,0.001,0.0,0.0015,1.0,1.0,1.0,0.7021
COMTE,LSTMFCN,521,1,0,93.4196,0.0244,0.0,1.0179,10.4931,1.637,0.997,1.0,0.9995,1.0,1.0,1.0,0.997,0.0,0.0,1.0,0.9882,1.0,1.0,1.0,0.9991,0.0,0.0,1.0,0.9934,1.0,1.0,1.0,0.999,0.0,0.0,0.0,0.107,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.0005,1.0,0.9997,1.0,0.9998,0.0,0.0,0.0,0.0108,1.0,0.9964,1.0,0.9999,0.0,0.0001,0.0,0.0009,1.0,0.9277,1.0,1.0,0.0,0.0007,0.0,0.0004,0.0,0.4597,1.0,0.9999,0.0,0.0069,0.0,0.0001,0.0,0.1159,1.0,1.0,0.0,0.0551,0.0,0.0024,0.0,0.034,1.0,1.0,0.0,0.246,0.0,0.0042,0.0,0.0111,1.0,1.0,1.0,0.5255
COMTE,LSTMFCN,136,0,1,96.4566,0.0122,0.0,1.7146,15.8061,2.228,0.9999,1.0,0.9859,0.0,0.0,1.0,0.9999,1.0,1.0,1.0,0.9974,0.0,0.0,1.0,0.9997,1.0,1.0,1.0,0.9986,0.0,0.0,1.0,0.6055,1.0,1.0,1.0,0.9998,0.0,0.0,0.0,0.0221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0071,1.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0042,1.0,0.9999,1.0,1.0,0.0,0.0011,0.0,0.0008,1.0,0.9992,1.0,0.9999,0.0,0.0108,0.0,0.0025,1.0,0.9823,1.0,1.0,0.0,0.1006,0.0,0.0001,1.0,0.6507,1.0,1.0,1.0,0.5117,0.0,0.001,0.0,0.1231,1.0,0.9976,1.0,0.868,0.0,0.0026,0.0,0.0321
